metric,before_ms,after_ms,delta_ms,delta_pct
FCP,1270.484,1238.964,-31.52,-2.48%
LCP,5659.967,2257.928,-3402.039,-60.14%
Speed Index,1836.602,3107.609,1271.007,69.23%
TBT,775,756,-19,-2.45%
